# -*- mode: tsv -*-
# vers	sha256sum (tar.gz)	cksum #octets
4.0.3	4c215e5943ad1a31b96ed2e355472c787aba5c0bdb01060523361cac11a0cef3	1030219537 2513277
4.0.4	2adc49ec703b797b40248bc8e8d385917c9b4799105898745c50d511dbabab44	2978469324 2519330
4.0.5	64eabe6867fd5d14d1b4c584417b9b71fbb9b68a019400eeb03e1f2147c369e8	1956929937 2519900
4.0.6	173c4de0ce0a8b2b1e340b6f50d88dfc4ec3a3a7aae11acde201a15613aec8c4	2005262273 2520461
4.0.7	1e556ebaefc69d09da859c2a0f95c52d2d26cf973461218169e5e7be01694a76	3197782864 2521740
4.0.8	c06ebd75ab87b23d766b37a9e49c9e456756ed91f85b33a584a66f47f888038a	3487389898 2526091
4.0.9	04a772b0b8f8ce6493614a7cb22ed82cb9b43c75dcdbeb5c2f925bae98e0d5df	1171112473 2526519
4.1.0	91f220504ee0d25ea0f8ed4d6cc49071c914b6de616cf488dc8e91427107acbb	2189165321 2709603
4.1.1	05faafe764330f2d77b0aacddf9d8ddce579c3d26bb8e03a7d6e7ff461f1cdda	1235135470 2712056
4.1.2	7e22397351c53fe8fe4444c01c4e0640d9cefb17b9ac765b846df27627cd228e	992108945 2719030
4.1.3	b5a11a750fa7eeafdf513b352fa2375987b6ebad4264a929ad4db0421870c154	4244407568 2720733
4.1.4	beaf6e51bb6a0c7655d73410afdf50c24091ee5f11eda0c9e96f38dfa7a3ab9f	1668119858 2720709
4.1.5	624dfeab7db5cda35a03d791b5fa83a836717ca280856c51cd089ed638f8678e	2422318738 2722929
4.1.6	ad78999cb65ba2d1be344fdd582e4f24a9b97c88710ab217a954df437e04072f	3055539714 2723049
4.1.7	bf56cade5d0a6623af590652bffe2865208f399fe77746d4e1bbd9d1a995a38a	1183240337 2723718
4.2.0	295864c580afa2a926e7a17f2ad10693f9b7a6d9f1ef523edb96b2368e7f07e5	3264090398 3033532
4.2.1	ad4109c3425f1cfe4c8961f6ae6494c76e20d81ed946caa1e297d9eda13b41b4	1201426996 3034144
4.2.2	e6fbe9279939a95953d377ef76f180f204a1f3da5229a1d56055d658de7198f6	3500302621 3038398
4.2.3	72f633dc954217948558889ca85325fe6410cd18a2d8b39358e5d75932a47a0c	3067217769 3039136
4.2.4	cf649f5d4ff783582f82bebd4a5099ef63acb3d5573bbe6b4bf64f293c61c9ce	909446003 3040533
4.2.5	d97084b0eaad7266056814a0c0aec2737f4d23b8f67ce90c01a79b2eb5605984	1305913226 3041844
4.2.6	022cb2eee0f8823fd27e2e93373086a29b4bb11215ee6dc7012b5ef2a3bada4c	21759907 3041632
4.2.7	ed4be03b5ab63c2641a87db8978739dd997c0f646bfa1010ac9e5210c343724e	1260929654 3042676
4.2.8	0b431c052d8fd36b93201dafaf3615cdb8d03460efcf2400e7d32662b2ab6272	356692358 3043322
4.2.9	d38741345f6efd10c079898093b259d8dc4dcd8e41dfc4f64649685ae7a8cb1e	3280450912 3043566
4.2.10	6f26388c23892962552ca491d5efedabd42dac88861dd9d80bc33458f65be1e9	1670403 3045016
4.2.11	de4ce017c2ad0af94b2941259f356094f369b1b2c621b5a1dd8984a2cf10dc25	371869265 3074971
5.0.0	7e840dec846646dae52fff5c631b135d1c915d6e03ea6f01ca8f12ad35803bef	1989941228 3101059
5.0.1	6916c5fe39d09e56921fe321464e3eb2d206d52075c61da7b8a89247e6908bb7	908162716 3100998
5.0.2	4e718f44ba33716faf58c8fabf5d5f55b33c93426b7a33a83b5fc1b880585d57	2916849696 3104135
5.0.3	594068014b2c5eceb3510bfd8786b8d7bc837896912a95cbb24dd76941d36ca0	1864432175 3113409
5.0.4	39436f5f8d26f5b7ce17e79903a3112e556e924da4f51c05b57f5defbe6f2924	2069943481 3114593
5.0.5	a89ad1c4bb9bf025e6527c77ab18c8faf7749c94a975caf2cfdbba00eb12a481	2342406913 3115940
5.0.6	488fe08f37a8eb1011415922a8ea743b7f38d8a7a5f8822950a34a375dcf08ee	2303822376 3150234
5.0.7	f151fafb5baf309cb3192f81bda4736cf68f1bff759cebb0dcbd73a3d6175d71	2810781885 3150461
5.0.8	1eda410840a21ab0f6965a378699a65588b6785db95eaf6494c6c9bc51b5bf6e	1704717493 3150853
5.0.9	a7d9b05ff258ab2c106ba5d45589eeaec3e7ebb35427aa73a037ff3ae71251df	790448534 3151650
5.1.0	a94d6ecde5a100a6271503fef154818212dac01cf5e45e37e2beb4059365ba93	354478726 3244248
5.1.1	edf3095746effd04ad5140681d618f5fa8d06be09c47b6f8b615dcad0b753e6e	3303855885 3245167
5.1.2	26c0ca0a9aaee1ceb983825bf1266c99b0850bf013c178713f5a3b0080012123	2122029329 3249396
5.1.3	8a22320fd9c940e6598f3ad5fb7a3933195c86068eee994ba6fcdc22c5cecb59	632287020 3251273
